game_abv,game_full,story,suspects,puzzles,music,atmosphere,ending,wk_era,ui_era
SCK,Secrets Can Kill,30,24,33,30,33,30,classical,starter
STFD,Stay Tuned For Danger,23,9,29,24,30,6,classical,starter
MHM,Message in a Haunted Mansion,28,28,25,16,27,25,classical,starter
TRT,Treasure in the Royal Tower,10,14,10,5,8,23,classical,starter
FIN,The Final Scene,6,5,22,9,12,1,classical,starter
SSH,Secret of the Scarlet Hand,29,31,28,22,20,21,classical,starter
DOG,Ghost Dogs of Moon Lake,13,26,6,1,6,24,classical,starter
CAR,The Haunted Carousel,24,22,20,10,31,8,classical,starter
DDI,Danger on Deception Island,8,8,15,4,1,9,classical,starter
SHA,Secret of Shadow Ranch,9,16,11,15,5,5,classical,short
CUR,Curse of Blackmoor Manor,7,23,5,11,9,13,classical,short
CLK,Secret of the Old Clock,27,29,23,2,19,27,classical,short
TRN,Last Train to Blue Moon Canyon,12,1,14,6,2,11,classical,short
DAN,Danger by Design,32,12,31,19,24,32,renaissance,short
CRE,Creature of Kapu Cave,26,25,26,26,25,26,renaissance,short
ICE,White Wolf of Icicle Creek,18,19,16,13,18,19,renaissance,exploration
CRY,Legend of the Crystal Skull,5,13,1,20,3,4,renaissance,exploration
VEN,The Phantom of Venice,20,30,8,25,13,29,renaissance,exploration
HAU,The Hauntings of Castle Malloy,31,27,27,17,16,16,renaissance,exploration
RAN,Ransom of the Seven Ships,25,33,17,12,14,28,renaissance,exploration
WAC,Warnings at Waverly Academy,3,3,24,27,17,15,renaissance,exploration
TOT,Trail of the Twister,22,20,4,18,11,22,renaissance,exploration
SHA,Shadow at the Water's Edge,1,4,13,8,7,20,renaissance,exploration
CAP,The Captive Curse,11,18,24,7,4,7,modern,exploration
ASH,Alibi in Ashes,16,11,19,31,32,10,modern,exploration
TMB,Tomb of the Lost Queen,19,21,9,32,22,12,modern,updated
DED,The Deadly Device,4,2,7,14,21,14,modern,updated
GTH,Ghost of Thornton Hall,2,7,21,33,15,2,modern,updated
SPY,The Silent Spy,17,15,18,21,28,17,modern,updated
MED,The Shattered Medallion,33,32,30,29,26,33,modern,updated
LIE,Labyrinth of Lies,21,10,12,23,29,3,modern,updated
SEA,Sea of Darkness,14,6,2,3,10,18,modern,updated
MID,Midnight in Salem,15,17,32,28,23,31,postmodern,unity